time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-03-29T17:03:00.300Z,39.1876667,-111.52,1.94,1.44,md,10,93,0.09704,0.17,uu,uu60275602,2018-03-29T21:12:06.050Z,"13km SE of Manti, Utah",earthquake,0.54,10.26,0.347,9,reviewed,uu,uu
2018-03-29T17:00:54.510Z,64.9979,-147.3893,0,1.5,ml,,,,0.67,ak,ak18820403,2018-03-29T17:16:08.456Z,"23km NE of Fairbanks, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-03-29T16:50:58.720Z,18.0988,-67.0723,14,2.05,md,4,149,0.0781,0.23,pr,pr2018088002,2018-03-29T20:09:33.221Z,"1km NNE of Sabana Eneas, Puerto Rico",earthquake,1.83,2.76,0.07,4,reviewed,pr,pr
2018-03-29T16:49:37.940Z,33.4786667,-117.0126667,15.52,0.62,ml,18,48,0.0908,0.16,ci,ci37902247,2018-03-29T19:31:49.899Z,"13km E of Temecula, CA",earthquake,0.3,0.88,0.193,11,reviewed,ci,ci
2018-03-29T16:45:03.230Z,32.9601667,-115.5583333,9.81,1.3,ml,23,49,0.05857,0.22,ci,ci37902231,2018-03-29T19:29:17.484Z,"3km SW of Brawley, CA",earthquake,0.36,0.7,0.21,10,reviewed,ci,ci
2018-03-29T16:28:51.430Z,33.495,-116.4888333,14.29,0.93,ml,26,135,0.05987,0.17,ci,ci37902223,2018-03-29T18:12:48.490Z,"18km ESE of Anza, CA",earthquake,0.37,0.51,0.179,26,reviewed,ci,ci
2018-03-29T16:27:01.661Z,59.8123,-136.8405,0,1.9,ml,,,,0.48,ak,ak18820394,2018-03-29T16:41:42.906Z,"94km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-03-29T16:06:54.340Z,39.403,-110.3025,-2.96,1.52,ml,9,200,0.0274,0.11,uu,uu60275597,2018-03-29T20:21:00.910Z,"18km SSE of East Carbon City, Utah",earthquake,1.12,1.66,0.115,3,reviewed,uu,uu
2018-03-29T16:06:44.670Z,-6.3281,143.1729,10,5,mb,,35,4.994,1.11,us,us1000dat7,2018-03-29T22:11:37.176Z,"55km WSW of Mendi, Papua New Guinea",earthquake,8.4,1.8,0.04,199,reviewed,us,us
2018-03-29T15:59:17.047Z,37.0686,-116.9362,5.6,-0.1,ml,6,198.93,0.118,,nn,nn00628168,2018-03-29T22:30:56.883Z,"23km NW of Beatty, Nevada",earthquake,,,,,reviewed,nn,nn
2018-03-29T15:52:47.750Z,38.8154984,-122.8030014,1.06,1.74,md,27,61,0.009628,0.05,nc,nc72991220,2018-03-29T16:47:03.637Z,"6km NW of The Geysers, CA",earthquake,0.19,0.31,0.02,7,automatic,nc,nc
2018-03-29T15:41:13.060Z,43.1083,145.7191,75.53,4.3,mb,,168,2.185,0.59,us,us1000dasl,2018-03-29T23:43:46.768Z,"26km SSE of Nemuro, Japan",earthquake,10.4,9.6,0.06,79,reviewed,us,us
2018-03-29T15:40:36.300Z,33.493,-116.776,7.53,0.32,ml,10,118,0.07911,0.13,ci,ci37902199,2018-03-29T15:51:52.560Z,"10km NE of Aguanga, CA",earthquake,0.39,1.04,0.036,7,reviewed,ci,ci
2018-03-29T15:30:41.700Z,47.5138333,-122.8686667,21.31,0.09,md,4,259,0.05839,0.03,uw,uw61358487,2018-03-29T17:49:29.940Z,"7km NNW of Belfair, Washington",earthquake,1.49,0.77,0.021,3,reviewed,uw,uw
2018-03-29T15:26:28.467Z,38.2671,-118.2678,0,0,ml,4,216.21,0.143,,nn,nn00628166,2018-03-29T22:24:41.633Z,"42km SE of Hawthorne, Nevada",earthquake,,,,,reviewed,nn,nn
2018-03-29T15:25:52.380Z,38.8251648,-122.8568344,1.99,1.23,md,18,67,0.002377,0.03,nc,nc72991210,2018-03-29T16:19:03.495Z,"10km WNW of The Geysers, CA",earthquake,0.24,0.41,0.11,6,automatic,nc,nc
2018-03-29T15:08:59.220Z,62.8941,-148.9726,65.2,1,ml,,,,0.45,ak,ak18819318,2018-03-29T15:15:33.825Z,"55km S of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-03-29T14:53:49.030Z,39.3975,-110.2935,-3.35,1.71,md,6,204,0.03612,0.14,uu,uu60275592,2018-03-29T20:22:35.960Z,"19km SSE of East Carbon City, Utah",earthquake,2.58,3.58,0.22,5,reviewed,uu,uu
2018-03-29T14:38:13.850Z,56.5754,-148.6193,19.6,3.1,ml,,198,2.474,0.71,us,us1000daru,2018-03-29T16:17:31.040Z,"265km ESE of Kodiak, Alaska",earthquake,6.5,9.3,0.046,62,reviewed,us,us
2018-03-29T14:28:11.569Z,60.204,-141.3526,13,1.1,ml,,,,1.09,ak,ak18819311,2018-03-29T14:36:55.809Z,"61km ENE of Cape Yakataga, Alaska",earthquake,,1,,,automatic,ak,ak
2018-03-29T14:27:37.960Z,47.8188333,-123.115,9.69,0.29,ml,3,286,0.1374,0.36,uw,uw61358467,2018-03-29T17:40:38.710Z,"29km S of Sequim, Washington",earthquake,13.44,26.22,0.084,2,reviewed,uw,uw
2018-03-29T14:16:44.640Z,35.482,-120.0385,1.13,1.18,ml,13,124,0.171,0.21,ci,ci37902159,2018-03-29T19:24:14.199Z,"15km NNW of Simmler, CA",earthquake,0.48,1.24,0.121,6,reviewed,ci,ci
2018-03-29T14:13:13.960Z,38.8393326,-122.8388367,1.71,0.57,md,8,124,0.002719,0.01,nc,nc72991190,2018-03-29T15:28:02.227Z,"10km NW of The Geysers, CA",earthquake,0.36,0.81,0.49,2,automatic,nc,nc
2018-03-29T14:08:37.220Z,32.0046,48.755,35,4.1,mb,,113,4.006,1.44,us,us1000darl,2018-03-29T16:06:35.040Z,"10km WSW of Shushtar, Iran",earthquake,9.7,2,0.107,24,reviewed,us,us
2018-03-29T14:05:59.160Z,41.9216,142.2546,65.56,4.4,mb,,114,0.679,1.19,us,us1000dare,2018-03-29T15:46:42.040Z,"46km SSW of Shizunai, Japan",earthquake,7,8.9,0.075,51,reviewed,us,us
2018-03-29T14:02:32.620Z,19.9468333,-155.4675,32.75,2.88,ml,21,136,0.1337,0.1,hv,hv70065071,2018-03-29T21:52:24.664Z,"15km SSE of Honoka'a, Hawaii",earthquake,0.51,1.11,0.165,23,reviewed,hv,hv
2018-03-29T13:59:23.490Z,33.4903333,-116.7895,3.95,0.01,ml,17,96,0.08664,0.11,ci,ci37902127,2018-03-29T18:29:35.510Z,"9km NE of Aguanga, CA",earthquake,0.2,0.49,0.115,6,reviewed,ci,ci
2018-03-29T13:57:15.650Z,38.8170013,-122.8003311,3.3,1.05,md,20,72,0.009838,0.02,nc,nc72991185,2018-03-29T15:00:05.068Z,"6km NW of The Geysers, CA",earthquake,0.29,0.64,0.07,4,automatic,nc,nc
2018-03-29T13:39:48.960Z,44.0638333,-110.6113333,8.89,0.2,md,7,144,0.06615,0.11,uu,uu60275587,2018-03-29T20:25:43.150Z,"47km SSE of Old Faithful Geyser, Wyoming",earthquake,0.57,1.18,0.234,3,reviewed,uu,uu
2018-03-29T13:39:42.370Z,38.8018341,-122.7771683,1.19,0.72,md,11,97,0.01173,0.02,nc,nc72991180,2018-03-29T14:31:02.753Z,"3km NNW of The Geysers, CA",earthquake,0.26,0.52,0.15,3,automatic,nc,nc
2018-03-29T13:37:56.440Z,32.5773333,-115.6705,9.71,1.25,ml,17,147,0.0859,0.14,ci,ci37902119,2018-03-29T19:19:26.985Z,"8km W of Progreso, B.C., MX",earthquake,0.34,0.48,0.19,10,reviewed,ci,ci
2018-03-29T13:36:10.860Z,33.7415,-117.4973333,10.55,1.58,ml,56,73,0.02536,0.23,ci,ci37902111,2018-03-29T14:02:22.020Z,"12km NE of Trabuco Canyon, CA",earthquake,0.32,0.41,0.277,30,reviewed,ci,ci
2018-03-29T13:27:25.855Z,61.2856,-147.7775,16.5,1.3,ml,,,,0.92,ak,ak18819300,2018-03-29T13:34:42.778Z,"72km ESE of Butte, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-03-29T13:10:49.101Z,38.6954,-119.2154,6.2,1.2,ml,13,94.03,0.259,0.1242,nn,nn00627996,2018-03-29T17:31:34.284Z,"14km SE of Smith Valley, Nevada",earthquake,,4.2,0.47,6,reviewed,nn,nn
2018-03-29T13:03:22.660Z,46.1165,-111.393,11.21,0.62,md,7,123,0.132,0.08,mb,mb80287449,2018-03-29T14:59:19.120Z,"24km SSE of Townsend, Montana",earthquake,0.53,1.6,0.286,6,reviewed,mb,mb
2018-03-29T12:55:46.790Z,39.2488327,-122.7578354,-0.05,2.01,md,9,64,0.1353,0.09,nc,nc72991165,2018-03-29T13:34:02.451Z,"16km NNE of Nice, CA",earthquake,0.4,9.86,0.2,5,automatic,nc,nc
2018-03-29T12:53:31.116Z,62.8861,-149.5978,54.3,1.7,ml,,,,0.75,ak,ak18819292,2018-03-29T13:04:08.534Z,"65km SSW of Cantwell, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-03-29T12:43:39.335Z,39.3256,-120.141,0,-0.3,ml,3,211.76,0.088,,nn,nn00628159,2018-03-29T22:06:09.376Z,"3km E of Truckee, California",earthquake,,,,,reviewed,nn,nn
2018-03-29T12:42:26.250Z,33.5003333,-116.7875,5.59,0.11,ml,15,105,0.07726,0.07,ci,ci37902079,2018-03-29T19:15:24.283Z,"10km NE of Aguanga, CA",earthquake,0.18,0.61,0.046,3,reviewed,ci,ci
2018-03-29T12:24:37.190Z,37.6338333,-119.054,-0.75,0.33,md,9,80,0.02019,0.03,nc,nc72991155,2018-03-29T18:12:02.556Z,"7km W of Mammoth Lakes, CA",earthquake,0.21,0.52,0.21,8,reviewed,nc,nc
2018-03-29T12:23:51.750Z,42.5293333,-111.4263333,6.09,1.67,md,7,219,0.06738,0.12,uu,uu60275582,2018-03-29T20:30:54.230Z,"20km SE of Soda Springs, Idaho",earthquake,0.97,0.95,0.296,3,reviewed,uu,uu
2018-03-29T12:21:26.196Z,63.3656,-149.8245,95.3,1.8,ml,,,,0.45,ak,ak18819284,2018-03-29T12:35:49.037Z,"43km W of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-03-29T12:10:21.864Z,39.419,-119.8439,5.7,-0.1,ml,3,251.64,0.195,,nn,nn00628148,2018-03-29T21:56:43.738Z,"12km SSW of Reno, Nevada",earthquake,,,,,reviewed,nn,nn
2018-03-29T12:07:44.640Z,33.6541667,-116.7345,13.73,0.57,ml,23,60,0.05272,0.14,ci,ci37183412,2018-03-29T19:42:58.741Z,"10km S of Idyllwild, CA",earthquake,0.31,0.5,0.108,8,reviewed,ci,ci
2018-03-29T12:07:36.970Z,33.6536667,-116.737,13.6,0.73,ml,43,56,0.05486,0.14,ci,ci37902071,2018-03-29T19:44:16.990Z,"10km S of Idyllwild, CA",earthquake,0.17,0.28,0.202,18,reviewed,ci,ci
2018-03-29T12:06:17.200Z,38.8103333,-122.8148346,2.04,1.35,md,24,73,0.0113,0.04,nc,nc72991145,2018-03-29T13:19:03.367Z,"6km NW of The Geysers, CA",earthquake,0.22,0.36,0.23,6,automatic,nc,nc
